id,nome,nome_completo,ruolo,ruolo_completo,p1,p2,p3,p4,squadra,v1,v2,piede,paese,nascita,foto,m1,m2,m3
4199,Loftus-Cheek,Loftus-Cheek Ruben,C,C,19,13,19,13,Milan,67,67,destro,Inghilterra;Giamaica,23/01/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/LOFTUS-CHEEK.png?v=50,0,6.28,7.08
5298,Pobega,Pobega Tommaso,C,C,3,5,3,4,Milan,11,11,ambidestro,Italia,15/07/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/POBEGA.png?v=50,0,5.93,5.93
4970,Messias,Messias Junior,C,W,13,9,13,8,Genoa,29,25,sinistro,Brasile,13/05/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MESSIAS.png?v=50,0,6.38,6.75
5510,Romero L.,Romero Luka,C,W,1,4,1,4,Milan,8,8,sinistro,Argentina;Spagna,18/11/2004 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ROMERO-L.png?v=50,1,6.0,5.75
4892,Saelemaekers,Saelemaekers Alexis,C,W,5,5,5,5,Bologna,36,31,destro,Belgio,27/06/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SAELEMAEKERS.png?v=50,0,5.8,5.73
5875,Adli,Adli Yacine,C,T,7,1,7,1,Milan,10,5,destro,Francia;Algeria,29/07/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ADLI.png?v=50,0,6.05,6.23
5995,De Ketelaere,De Ketelaere Charles,C,T,18,7,18,7,Atalanta,77,77,sinistro,Belgio,10/03/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DE-KETELAERE.png?v=50,0,6.19,6.92
4856,Chukwueze,Chukwueze Samuel,C,W;A,9,19,9,18,Milan,23,20,sinistro,Nigeria,22/05/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CHUKWUEZE.png?v=50,0,5.77,5.77
2423,Pulisic,Pulisic Christian,C,T;A,29,18,28,17,Milan,150,150,destro,Stati Uniti;Croazia,18/09/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/PULISIC.png?v=50,0,6.38,7.45
4510,Rafael Leao,Leao Rafael,A,A,24,31,24,31,Milan,159,159,destro,Portogallo;Angola,10/06/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/RAFAEL-LEAO.png?v=50,0,6.33,7.03
4923,Colombo,Colombo Lorenzo,A,Pc,15,10,14,9,Monza,26,16,sinistro,Italia,08/03/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/COLOMBO.png?v=50,0,5.89,6.37
4200,Giroud,Giroud Olivier,A,Pc,34,24,34,24,Milan,330,330,sinistro,Francia,30/09/1986 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/GIROUD.png?v=50,0,6.39,8.13
6227,Okafor,Okafor Noah,A,Pc,17,16,16,15,Milan,25,15,destro,Svizzera;Nigeria,24/05/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/OKAFOR.png?v=50,0,6.17,7.12
2466,Origi,Origi Divock,A,Pc,3,3,3,3,Milan,1,1,destro,Belgio;Kenia,18/04/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ORIGI.png?v=50,1,0.0,0.0
5876,Di Gregorio,Di Gregorio Michele,P,Por,18,12,18,12,Monza,68,68,destro,Italia,27/07/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DI-GREGORIO.png?v=50,0,6.39,5.66
217,Lamanna,Lamanna Eugenio,P,Por,1,1,1,1,Monza,1,1,destro,Italia,07/08/1989 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/LAMANNA.png?v=50,0,0.0,0.0
5853,Sorrentino A.,Sorrentino Alessandro,P,Por,1,1,1,1,Monza,1,1,destro,Italia,03/04/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SORRENTINO-A.png?v=50,0,5.88,3.12
5399,Antov,Antov Valentin,D,Dc,1,1,1,1,Monza,1,1,destro,Bulgaria,09/11/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=50,1,0.0,0.0
5757,Cittadini,Cittadini Giorgio,D,Dc,1,3,1,3,Genoa,8,8,destro,Italia,18/04/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=50,0,6.0,5.5
226,Izzo,Izzo Armando,D,Dc,1,8,1,8,Monza,12,12,destro,Italia,02/03/1992 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/IZZO.png?v=50,0,5.67,5.42
4904,Mari',Marì Pablo,D,Dc,5,9,5,9,Monza,26,26,sinistro,Spagna,31/08/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MARI.png?v=50,0,5.94,5.76
4958,Caldirola,Caldirola Luca,D,Ds;Dc,7,7,7,8,Monza,10,12,sinistro,Italia,01/02/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CALDIROLA.png?v=50,0,5.78,5.8
4925,Carboni A.,Carboni Andrea,D,Ds;Dc,4,3,4,4,Monza,3,4,sinistro,Italia,04/02/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CARBONI.png?v=50,0,5.83,5.79
6149,Carboni F.,Carboni Franco,D,Ds;E,1,1,1,1,Monza,1,1,sinistro,Argentina;Italia,04/04/2003 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=50,1,0.0,0.0
4530,Kyriakopoulos,Kyriakopoulos Georgios,D,Ds;E,9,9,9,9,Monza,22,22,sinistro,Grecia,05/02/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/KYRIAKOPOULOS.png?v=50,0,5.94,6.03
5838,Birindelli,Birindelli Samuele,D,Dd;Ds;E,6,5,6,6,Monza,10,13,destro,Italia,19/07/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BIRINDELLI.png?v=50,0,6.03,5.88
5877,Carlos Augusto,Carlos Augusto,D,E,13,17,13,17,Inter,27,27,sinistro,Brasile,07/01/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CARLOS-AUGUSTO.png?v=50,0,6.16,6.18
5880,Ciurria,Ciurria Patrick,C,E;W,8,14,8,15,Monza,26,30,ambidestro,Italia,09/02/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CIURRIA.png?v=50,0,5.88,5.88
21,D'alessandro,D'Alessandro Marco,C,E;W,1,1,1,1,Monza,1,1,destro,Italia,17/02/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/D-ALESSANDRO.png?v=50,1,0.0,0.0
801,Gagliardini,Gagliardini Roberto,C,M;C,10,6,9,7,Monza,27,32,destro,Italia,07/04/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/GAGLIARDINI.png?v=50,0,5.93,5.98
666,Machin,Machin Josè,C,C,3,5,3,4,Monza,6,5,destro,Guinea Equatoriale;Spagna,14/08/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=50,0,5.94,5.81
5878,Colpani,Colpani Andrea,C,C;T,26,9,26,9,Monza,80,80,sinistro,Italia,11/05/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/COLPANI.png?v=50,0,6.34,7.32
2741,Pessina,Pessina Matteo,C,C;T,12,14,12,14,Monza,41,41,sinistro,Italia,21/04/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/PESSINA.png?v=50,0,6.02,6.11
2274,Valoti,Valoti Mattia,C,C;T,2,2,2,2,Monza,4,4,destro,Italia,06/09/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/VALOTI.png?v=50,1,0.0,0.0
6106,Carboni V.,Carboni Valentin,C,T;A,15,2,15,2,Monza,29,29,sinistro,Argentina;Italia,05/03/2005 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=50,0,6.23,6.86
5879,Vignato S.,Vignato Samuele,C,T;A,6,1,6,1,Monza,12,12,destro,Italia;Brasile,24/02/2004 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/VIGNATO-S.png?v=50,0,6.0,6.25
1958,Caprari,Caprari Gianluca,A,A,3,14,3,14,Monza,15,15,destro,Italia,30/07/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CAPRARI.png?v=50,0,6.0,6.0
5882,Mota,Mota Dany,A,A,12,11,12,11,Monza,37,37,destro,Portogallo;Lussemburgo,02/05/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MOTA.png?v=50,0,5.92,6.28
6249,Diaw,Diaw Davide,A,Pc,1,1,1,1,Monza,1,1,destro,Italia;Senagal,06/01/1992 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=50,1,0.0,0.0
6250,Maric,Maric Mirko,A,Pc,7,1,7,1,Monza,1,1,sinistro,Croazia;Bosnia Erzegovina,16/05/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=50,0,6.07,6.5
383,Petagna,Petagna Andrea,A,Pc,8,13,8,13,Cagliari,25,15,sinistro,Italia,30/06/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/PETAGNA.png?v=50,0,5.88,6.12
